,game_string,num_cycles,num_posts,fundamentals,winner,complexity,broken,setting,world,is_anon,format,game_num,is_broken,game_id,IM_id
0,LG1,4,462.0,V/E,E,Standard,Well Balanced,Cosmere,,,LG,1.0,,1,
1,LG2,11,1232.0,Conversion,E,Standard,Balanced,Cosmere,,,LG,2.0,,2,
2,LG3,7,739.0,V/E,V,Standard,Broken Distribution,Cosmere,,,LG,3.0,Y,3,
3,LG4,9,1029.0,V/E,V,Semi Standard,Broken Mechanics,Cosmere,,,LG,4.0,Y,4,
4,QF1,4,118.0,V/E,E,Basic,Well Balanced,Cosmere,,,QF,1.0,,5,
5,LG5,7,617.0,V/E,V,Semi Standard,Balanced,Cosmere,,,LG,5.0,,6,12.0
6,MR1,7,384.0,Faction,F,Faction/FFA,Broken Mechanics,Cosmere,,,MR,1.0,Y,7,1.0
7,LG6,8,503.0,Multiple E,V,Semi Standard,Well Balanced,Wheel of Time,,,LG,6.0,,8,1.0
8,QF2,10,361.0,V/E,E,Standard,Well Balanced,Cosmere,,,QF,2.0,,9,12.0
9,LG7,6,657.0,Faction,V,Semi Standard,Balanced,Cosmere,,,LG,7.0,,10,12.0
10,MR2,5,355.0,V/E,V,Standard,Broken Mechanics,Cosmere,,,MR,2.0,Y,11,12.0
11,LG8,10,451.0,V/E,E,Complex,Broken Mech. and Dist,Cosmere,,,LG,8.0,Y,12,7.0
12,QF3,5,201.0,V/E,V,Standard,Well Balanced,Cosmere,,,QF,3.0,,13,12.0
13,MR3,6,226.0,V/E,E,Standard,Balanced,Non Cosmere,,,MR,3.0,,14,12.0
14,LG9,6,343.0,V/E,E,Semi Standard,Well Balanced,Non Cosmere,,,LG,9.0,,15,1.0
15,QF4,5,210.0,Conversion,E,Standard,Balanced,Cosmere,,,QF,4.0,,16,12.0
16,MR4,7,711.0,V/E,V,Semi Standard,Balanced,Cosmere,,,MR,4.0,,17,7.0
17,QF5,6,221.0,FFA,FFA,Faction/FFA,Well Balanced,Non Sanderson,,,QF,5.0,,18,12.0
18,AG1,9,825.0,V/E,E,Standard,Well Balanced,Cosmere,,,AG,1.0,,19,7.0
19,LG10,10,1049.0,V/E,V,Semi Standard,Broken Mechanics,Cosmere,,,LG,10.0,Y,20,12.0
20,QF6,7,239.0,V/E,V,Standard,Broken Mechanics,Non Cosmere,,,QF,6.0,Y,21,12.0
21,MR5,12,530.0,Faction,F,Faction/FFA,Well Balanced,Sanderson Misc,,,MR,5.0,,22,1.0
22,LG11,8,651.0,V/E,V,Complex,Broken Mechanics,Cosmere,,,LG,11.0,Y,23,12.0
23,QF7,5,339.0,V/E,E,Standard,Balanced,Cosmere,,,QF,7.0,,24,
24,MR6,6,395.0,V/E,E,Semi Standard,Broken Mech. and Dist,Cosmere,,,MR,6.0,Y,25,1.0
25,LG12,9,1301.0,Multiple E,V,Complex,Broken Mechanics,Cosmere,,,LG,12.0,Y,26,7.0
26,QF8,11,529.0,V/E,V,Standard,Well Balanced,Cosmere,,,QF,8.0,,27,12.0
27,MR7,12?,665.0,Faction,V,Faction/FFA,Broken Mechanics,Cosmere,,,MR,7.0,Y,28,7.0
28,LG13,8,607.0,V/E,V,Standard,Balanced,Cosmere,,,LG,13.0,,29,12.0
29,QF9,6,271.0,V/E,E,Basic,Balanced,Cosmere,,,QF,9.0,,30,12.0
30,MR8,13,976.0,V/E,E,Standard,Well Balanced,Cosmere,,,MR,8.0,,31,1.0
31,LG14,15,1250.0,V/E,V,Semi Standard,Broken Mech. and Dist,Cosmere,,,LG,14.0,Y,32,1.0
