,format,game_num,game_string,Broken,game_id,IM_id
0,LG,1.0,LG1,,1,
1,LG,2.0,LG2,,2,
2,LG,3.0,LG3,Y,3,
3,LG,4.0,LG4,Y,4,
4,QF,1.0,QF1,,5,
5,LG,5.0,LG5,,6,12.0
6,MR,1.0,MR1,Y,7,1.0
7,LG,6.0,LG6,,8,1.0
8,QF,2.0,QF2,,9,12.0
9,LG,7.0,LG7,,10,12.0
10,MR,2.0,MR2,Y,11,12.0
11,LG,8.0,LG8,Y,12,7.0
12,QF,3.0,QF3,,13,12.0
13,MR,3.0,MR3,,14,12.0
14,LG,9.0,LG9,,15,1.0
15,QF,4.0,QF4,,16,12.0
16,MR,4.0,MR4,,17,7.0
17,QF,5.0,QF5,,18,12.0
18,AG,1.0,AG1,,19,7.0
19,LG,10.0,LG10,Y,20,12.0
20,QF,6.0,QF6,Y,21,12.0
21,MR,5.0,MR5,,22,1.0
22,LG,11.0,LG11,Y,23,12.0
23,QF,7.0,QF7,,24,
24,MR,6.0,MR6,Y,25,1.0
25,LG,12.0,LG12,Y,26,7.0
26,QF,8.0,QF8,,27,12.0
27,MR,7.0,MR7,Y,28,7.0
28,LG,13.0,LG13,,29,12.0
29,QF,9.0,QF9,,30,12.0
30,MR,8.0,MR8,,31,1.0
31,LG,14.0,LG14,Y,32,1.0
32,QF,10.0,QF10,,33,12.0
33,MR,9.0,MR9,,34,12.0
34,LG,15.1,LG15.1,Y,35,7.0
35,LG,15.2,LG15.2,Y,36,1.0
36,QF,11.0,QF11,,37,12.0
37,MR,10.0,MR10,Y,38,1.0
38,AG,2.0,AG2,,39,12.0
39,QF,12.0,QF12,,40,20.0
40,LG,16.0,LG16,,41,12.0
41,MR,11.0,MR11,,42,20.0
42,LG,17.0,LG17,,43,12.0
43,QF,13.0,QF13,Y,44,1.0
44,LG,18.0,LG18,Y,45,20.0
45,MR,12.0,MR12,,46,12.0
46,LG,19.0,LG19,Y,47,20.0
47,QF,14.0,QF14,,48,1.0
48,MR,13.0,MR13,,49,20.0
49,LG,20.0,LG20,Y,50,1.0
50,QF,15.0,QF15,,51,12.0
51,LG,21.0,LG21,Y,52,12.0
52,MR,14.0,MR14,Y,53,20.0
53,LG,22.0,LG22,,54,20.0
54,QF,16.0,QF16,Y,55,7.0
55,LG,23.0,LG23,,56,12.0
56,MR,15.0,MR15,Y,57,20.0
57,LG,24.0,LG24,Y,58,1.0
58,QF,17.0,QF17,,59,12.0
59,LG,25.0,LG25,,60,12.0
60,MR,16.0,MR16,,61,1.0
61,LG,26.0,LG26,Y,62,20.0
62,QF,18.0,QF18,,63,12.0
63,MR,17.0,MR17,,64,12.0
64,LG,27.0,LG27,Y,65,20.0
65,QF,19.0,QF19,,66,1.0
66,LG,28.0,LG28,,67,20.0
67,MR,18.0,MR18,,68,12.0
68,QF,20.0,QF20,,69,12.0
69,LG,29.0,LG29,Y,70,1.0
70,MR,19.0,MR19,,71,20.0
71,AG,3.0,AG3,,72,20.0
72,QF,21.0,QF21,,73,20.0
73,LG,30.0,LG30,,74,1.0
74,MR,20.0,MR20,,75,12.0
75,LG,31.0,LG31,,76,12.0
76,QF,22.0,QF22,,77,
77,LG,32.0,LG32,,78,20.0
78,MR,21.0,MR21,Y,79,20.0
79,LG,33.0,LG33,Y,80,1.0
80,QF,23.0,QF23,,81,20.0
81,MR,22.0,MR22,,82,12.0
82,LG,34.0,LG34,,83,20.0
83,QF,24.0,QF24,,84,1.0
84,LG,35.0,LG35,Y,85,20.0
85,MR,23.0,MR23,Y,86,12.0
86,LG,36.0,LG36,Y,87,12.0
87,QF,25.0,QF25,,88,20.0
88,LG,37.0,LG37,,89,12.0
89,MR,24.0,MR24,,90,108.0
