,,auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,,,
format,num,auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Title/Link,Sanderson? ,World,start_date,end_date,link
LG,1,LG1,16,4,462,V/E,E,Standard,FALSE,,,,Well Balanced,4,25.0%,0,1,10,6,5,0,0,1,0,4,0,,3,,,In the Wake of Koloss,TRUE,Scadrial,,,>:(
LG,2,LG2,29,11,1232,CON,E,Standard,FALSE,,,,Balanced,5,17.2%,1,2,25,4,14,0,0,2,2,7,0,,2,,,Devil's Den,TRUE,Scadrial,,,
LG,3,LG3,22,7,739,V/E,V,Standard,FALSE,,,,Broken Distribution,5,22.7%,4,1,14,8,3,0,0,1,3,7,0,,5,,,Blackwater Village,TRUE,Scadrial,,,
LG,4,LG4,30,9,1029,V/E,V,Semi Standard,FALSE,,,,Broken Mechanics,6,20.0%,2,4,21,9,4,0,1,4,4,8,0,,1,,,Colours of War,TRUE,Nalthis,,,
QF,1,QF1,12,4,118,V/E,E,Basic,FALSE,,,,Well Balanced,3,25.0%,0,0,6,6,3,0,0,0,0,3,0,,11,,,Jeskeri Mysteries,TRUE,Sel,,,
LG,5,LG5,20,7,617,V/E,V,Semi Standard,FALSE,,,,Balanced,4,20.0%,2,2,14,6,4,0,0,2,1,7,0,,2,,,Noble Secrets,TRUE,Roshar,,,
MR,1,MR1,27,7,384,FAC,F,Faction/FFA,FALSE,,,,Broken Mechanics,0,0.0%,0,0,21,6,0,0,12,0,4,5,0,,4,,,Riots of Kholinar,TRUE,Roshar,,,
LG,6,LG6,25,8,503,EE,V,Semi Standard,FALSE,,,,Well Balanced,5,20.0%,4,0,21,4,11,0,0,0,2,8,0,,5,,,Daes Dae'Mar,TRUE,Wheel of Time,,,
QF,2,QF2,15,10,361,V/E,E,Standard,FALSE,,,,Well Balanced,3,20.0%,0,0,10,5,7,0,0,0,0,3,0,,9,,,Crushthroat's Beginnings,TRUE,Sel,,,
LG,7,LG7,21,6,657,FAC,V,Semi Standard,FALSE,,,,Balanced,4,19.0%,3,1,12,9,5,0,0,1,1,5,0,,4,,,Annealing of Luthadel,TRUE,Scadrial,,,
MR,2,MR2,18,5,355,V/E,V,Standard,FALSE,,,,Broken Mechanics,4,22.2%,4,0,4,14,0,0,0,0,0,4,0,,2,,,Servants of Honor,TRUE,Roshar,,,
LG,8,LG8,20,10,451,V/E,E,Complex,FALSE,,,,Broken Mech. and Dist,3,15.0%,0,0,15,5,9,0,0,0,1,5,0,,5,,,Elendel Gang War,TRUE,Scadrial,,,
QF,3,QF3,14,5,201,V/E,V,Standard,FALSE,,,,Well Balanced,3,21.4%,2,1,10,4,4,0,0,1,0,5,0,,4,,,Shadowed Secrets,TRUE,Threnody,,,
MR,3,MR3,15,6,226,V/E,E,Standard,FALSE,,,,Balanced,4,26.7%,1,0,10,5,6,0,0,0,0,4,0,,4,,,When Chalklings Attack,TRUE,Rithmatist,,,
LG,9,LG9,15,6,343,V/E,E,Semi Standard,FALSE,,,,Well Balanced,3,20.0%,1,1,12,3,3,1,0,1,1,6,0,,5,,,The Empty Throne,TRUE,Reckoners,,,
QF,4,QF4,14,5,210,CON,E,Standard,FALSE,,,,Balanced,4,28.6%,1,0,8,6,4,0,0,0,0,4,0,,4,,,Conversions,TRUE,Cross-Cosmere,,,
MR,4,MR4,20,7,711,V/E,V,Semi Standard,FALSE,,,,Balanced,6,30.0%,2,3,12,8,3,0,0,3,1,4,1,,2,,,Alethi War of Unification,TRUE,Roshar,,,
QF,5,QF5,21,6,221,FFA,FFA,Faction/FFA,FALSE,,,,Well Balanced,0,0.0%,0,0,20,1,0,0,20,0,0,0,0,,6,,,Hunger Games,FALSE,Hunger Games,,,
