,format,game_num,game_string,game_id,player_id,player_name
0,LG,1.0,LG1,0,1,Meta
1,LG,2.0,LG2,1,1,Meta
2,LG,3.0,LG3,2,16,Peng
3,LG,4.0,LG4,3,6,Claincy
4,QF,1.0,QF1,4,49,Tempus
5,LG,5.0,LG5,5,4,Mailliw73
6,MR,1.0,MR1,6,12,little wilson
7,MR,1.0,MR1,6,53,Rubix
8,LG,6.0,LG6,7,7,Gamma
9,QF,2.0,QF2,8,1,Meta
10,LG,7.0,LG7,9,42,Wyrmhero
11,MR,2.0,MR2,10,55,Renegade
12,LG,8.0,LG8,11,9,bartbug
13,QF,3.0,QF3,12,7,Gamma
14,MR,3.0,MR3,13,45,Sart
15,LG,9.0,LG9,14,20,Alvron
16,QF,4.0,QF4,15,32,A Joe in the Bush
17,MR,4.0,MR4,16,42,Wyrmhero
18,QF,5.0,QF5,17,16,Peng
19,AG,1.0,AG1,18,1,Meta
20,LG,10.0,LG10,19,32,A Joe in the Bush
21,QF,6.0,QF6,20,26,Herowannabe
22,MR,5.0,MR5,21,20,Alvron
23,LG,11.0,LG11,22,24,Aonar
24,LG,11.0,LG11,22,40,Chid/Newan
25,QF,7.0,QF7,23,42,Wyrmhero
26,MR,6.0,MR6,24,71,Winter
27,LG,12.0,LG12,25,26,Herowannabe
28,LG,12.0,LG12,25,44,Tulir
29,QF,8.0,QF8,26,55,Renegade
30,MR,7.0,MR7,27,51,Kasimir
31,LG,13.0,LG13,28,24,Aonar
32,QF,9.0,QF9,29,7,Gamma
33,MR,8.0,MR8,30,55,Renegade
34,LG,14.0,LG14,31,32,A Joe in the Bush
35,QF,10.0,QF10,32,71,Winter
36,MR,9.0,MR9,33,7,Gamma
37,MR,9.0,MR9,33,105,Haelbarde
38,LG,15.1,LG15.1,34,42,Wyrmhero
39,LG,15.2,LG15.2,35,42,Wyrmhero
40,QF,11.0,QF11,36,4,Mailliw73
41,QF,11.0,QF11,36,105,Haelbarde
42,QF,11.0,QF11,36,139,Elbereth
43,MR,10.0,MR10,37,12,little wilson
44,MR,10.0,MR10,37,51,Kasimir
45,AG,2.0,AG2,38,1,Meta
46,QF,12.0,QF12,39,96,Phattemer
47,LG,16.0,LG16,40,20,Alvron
48,MR,11.0,MR11,41,58,Twei
49,MR,11.0,MR11,41,76,Eolhondras
50,LG,17.0,LG17,42,42,Wyrmhero
51,QF,13.0,QF13,43,129,Amanuensis
52,LG,18.0,LG18,44,12,little wilson
53,LG,18.0,LG18,44,24,Aonar
54,LG,18.0,LG18,44,108,Orlok Tsubodai
55,MR,12.0,MR12,45,4,Mailliw73
56,MR,12.0,MR12,45,136,Hellscythe
57,MR,12.0,MR12,45,149,DeathClutch
58,LG,19.0,LG19,46,90,Kipper
59,LG,19.0,LG19,46,96,Phattemer
60,LG,19.0,LG19,46,139,Elbereth
61,QF,14.0,QF14,47,32,A Joe in the Bush
62,MR,13.0,MR13,48,58,Twei
63,MR,13.0,MR13,48,139,Elbereth
64,LG,20.0,LG20,49,4,Mailliw73
65,QF,15.0,QF15,50,20,Alvron
66,LG,21.0,LG21,51,77,Seonid
67,MR,14.0,MR14,52,105,Haelbarde
68,MR,14.0,MR14,52,139,Elbereth
69,LG,22.0,LG22,53,7,Gamma
70,QF,16.0,QF16,54,127,RippleGylf
71,LG,23.0,LG23,55,7,Gamma
72,LG,23.0,LG23,55,55,Renegade
73,MR,15.0,MR15,56,75,Mckeedee
74,LG,24.0,LG24,57,32,A Joe in the Bush
75,QF,17.0,QF17,58,128,STINK
76,QF,17.0,QF17,58,129,Amanuensis
77,LG,25.0,LG25,59,139,Elbereth
78,MR,16.0,MR16,60,20,Alvron
79,LG,26.0,LG26,61,139,Elbereth
80,LG,26.0,LG26,61,165,Nyali
81,QF,18.0,QF18,62,32,A Joe in the Bush
82,QF,18.0,QF18,62,45,Sart
83,QF,18.0,QF18,62,139,Elbereth
84,QF,18.0,QF18,62,156,Straw
85,MR,17.0,MR17,63,128,STINK
86,MR,17.0,MR17,63,129,Amanuensis
87,LG,27.0,LG27,64,168,Young Bard
88,LG,27.0,LG27,64,181,Doctor 12
89,QF,19.0,QF19,65,32,A Joe in the Bush
90,LG,28.0,LG28,66,42,Wyrmhero
91,LG,28.0,LG28,66,51,Kasimir
92,MR,18.0,MR18,67,105,Haelbarde
93,QF,20.0,QF20,68,105,Haelbarde
94,LG,29.0,LG29,69,77,Seonid
95,LG,29.0,LG29,69,139,Elbereth
96,MR,19.0,MR19,70,12,little wilson
97,MR,19.0,MR19,70,128,STINK
98,AG,3.0,AG3,71,1,Meta
99,QF,21.0,QF21,72,164,AliasSheep
100,QF,21.0,QF21,72,181,Doctor 12
101,LG,30.0,LG30,73,128,STINK
102,LG,30.0,LG30,73,129,Amanuensis
103,MR,20.0,MR20,74,32,A Joe in the Bush
104,LG,31.0,LG31,75,139,Elbereth
105,LG,31.0,LG31,75,167,Conquestor
106,LG,31.0,LG31,75,184,Darkness Ascendant
107,QF,22.0,QF22,76,42,Wyrmhero
108,LG,32.0,LG32,77,108,Orlok Tsubodai
109,LG,32.0,LG32,77,128,STINK
110,MR,21.0,MR21,78,45,Sart
111,LG,33.0,LG33,79,126,TheMightyLopen
112,LG,33.0,LG33,79,139,Elbereth
113,LG,33.0,LG33,79,196,Droughtbringer
114,QF,23.0,QF23,80,32,A Joe in the Bush
115,MR,22.0,MR22,81,26,Herowannabe
116,LG,34.0,LG34,82,77,Seonid
117,LG,34.0,LG34,82,198,Drake Marshall
118,QF,24.0,QF24,83,45,Sart
119,LG,35.0,LG35,84,105,Haelbarde
120,LG,35.0,LG35,84,181,Doctor 12
121,MR,23.0,MR23,85,77,Seonid
122,LG,36.0,LG36,86,172,Ecthelion
123,LG,36.0,LG36,86,173,Elenion
124,LG,36.0,LG36,86,187,Jondesu
125,QF,25.0,QF25,87,139,Elbereth
126,LG,37.0,LG37,88,24,Aonar
127,LG,37.0,LG37,88,32,A Joe in the Bush
128,MR,24.0,MR24,89,77,Seonid
129,LG,38.0,LG38,90,128,STINK
130,LG,38.0,LG38,90,164,AliasSheep
131,QF,26.0,QF26,91,25,RainbowRose/Cessie
132,QF,27.0,QF27,92,173,Elenion
133,LG,39.0,LG39,93,42,Wyrmhero
134,MR,25.0,MR25,94,126,TheMightyLopen
135,MR,25.0,MR25,94,215,Steeldancer
136,LG,40.0,LG40,95,196,Droughtbringer
137,QF,28.0,QF28,96,42,Wyrmhero
138,MR,26.0,MR26,97,126,TheMightyLopen
139,MR,26.0,MR26,97,187,Jondesu
140,LG,41.0,LG41,98,32,A Joe in the Bush
141,AG,4.0,AG4,99,108,Orlok Tsubodai
142,AG,4.0,AG4,99,128,STINK
143,AG,4.0,AG4,99,139,Elbereth
144,QF,29.0,QF29,100,126,TheMightyLopen
145,MR,27.0,MR27,101,45,Sart
146,LG,42.0,LG42,102,32,A Joe in the Bush
147,LG,42.0,LG42,102,139,Elbereth
148,QF,30.0,QF30,103,198,Drake Marshall
149,LG,43.0,LG43,104,77,Seonid
150,LG,43.0,LG43,104,137,Arraenae
151,MR,28.0,MR28,105,173,Elenion
152,LG,44.0,LG44,106,241,Fifth Scholar
153,LG,44.0,LG44,106,26,Herowannabe
154,LG,44.0,LG44,106,139,Elbereth
155,QF,31.0,QF31,108,32,A Joe in the Bush
156,LG,45.0,LG45,107,156,Straw
157,MR,29.0,MR29,109,198,Drake Marshall
158,MR,29.0,MR29,109,201,DeTess
159,LG,46.0,LG46,110,215,Steeldancer
160,QF,32.0,QF32,111,156,Straw
161,LG,47.0,LG47,112,187,Jondesu
162,MR,30.0,MR30,113,77,Seonid
163,MR,30.0,MR30,113,241,Fifth Scholar
164,LG,48.0,LG48,114,241,Fifth Scholar
165,LG,48.0,LG48,114,236,Devotary of Spontaneity
166,QF,33.1,QF33.1,115,26,Herowannabe
167,QF,33.2,QF33.2,116,26,Herowannabe
168,LG,49.0,LG49,117,12,little wilson
169,LG,49.0,LG49,117,108,Orlok Tsubodai
170,LG,49.0,LG49,117,139,Elbereth
171,MR,31.0,MR31,118,32,A Joe in the Bush
172,MR,31.0,MR31,118,184,Darkness Ascendant
173,QF,34.0,QF34,119,211,BrightnessRadiant
174,LG,50.0,LG50,120,42,Wyrmhero
175,MR,32.0,MR32,121,241,Fifth Scholar
176,MR,32.0,MR32,121,253,Elandera
177,LG,51.0,LG51,122,156,Straw
178,QF,35.0,QF35,123,45,Sart
179,AG,5.0,AG5,124,77,Seonid
180,AG,5.0,AG5,124,32,A Joe in the Bush
181,MR,33.0,MR33,125,168,Young Bard
182,LG,52.0,LG52,126,250,Kidpen
