,format,game_num,game_string,game_id,player_id,player_name,alignment_type,win,first_hit,last_hit,num_hits,death,inactive,role,secondary_role
0,LG,1.0,LG1,1,2,Cracknut,G,L,1.0,1.0,1.0,E,,Tineye,
1,LG,1.0,LG1,1,3,Edgedancer,G,L,2.0,2.0,1.0,X,,Cop,
2,LG,1.0,LG1,1,4,Mailliw73,G,L,4.0,4.0,1.0,X,,Regular,
3,LG,1.0,LG1,1,5,Aether,E,W,4.0,4.0,1.0,V,,Smoker,
4,LG,1.0,LG1,1,6,Claincy,E,W,,,0.0,S,,Vote Cancel,
5,LG,1.0,LG1,1,7,Gamma,G,L,,,0.0,S,,Regular,
6,LG,1.0,LG1,1,8,Kurkistan,G,L,4.0,4.0,1.0,E,,Kill,
7,LG,1.0,LG1,1,9,bartbug,E,W,,,0.0,S,,Regular,
8,LG,1.0,LG1,1,10,dyring,G,L,3.0,3.0,2.0,X,,Double Life,
9,LG,1.0,LG1,1,11,Quiver,G,L,3.0,3.0,2.0,E,,Protect,
10,LG,1.0,LG1,1,12,little wilson,G,L,,,0.0,S,,Regular,
11,LG,1.0,LG1,1,13,Oudeis/Darnam,G,L,,,0.0,S,,Regular,
12,LG,1.0,LG1,1,14,loganmathewjohnson,E,W,,,0.0,S,,Jack of All Trades,
13,LG,1.0,LG1,1,15,Grayv,G,L,1.0,1.0,1.0,X,,Smoker,
14,LG,1.0,LG1,1,16,Peng,G,L,2.0,2.0,1.0,E,,Regular,
15,LG,1.0,LG1,1,17,PorridgeBrick,G,L,4.0,4.0,1.0,E,,Vote Change,
16,LG,1.0,LG1,1,18,Windy,,,,,,,,Spec,
17,LG,1.0,LG1,1,19,Weiry,,,,,,,,Spec,
18,LG,1.0,LG1,1,20,Alvron,,,,,,,,Spec,
19,LG,2.0,LG2,2,2,Cracknut,G,L,3.0,3.0,1.0,X,,Regular,
20,LG,2.0,LG2,2,3,Edgedancer,G,L,4.0,4.0,1.0,X,,Regular,
21,LG,2.0,LG2,2,4,Mailliw73,G,L,5.0,5.0,1.0,E,,Vote Cancel,
22,LG,2.0,LG2,2,5,Aether,G,L,,,0.0,S,,Double Life,
23,LG,2.0,LG2,2,6,Claincy,G,L,1.0,1.0,1.0,F,,Regular,
24,LG,2.0,LG2,2,7,Gamma,B,W,9.0,9.0,1.0,V,,Vote Cancel,
25,LG,2.0,LG2,2,8,Kurkistan,G,L,8.0,8.0,1.0,E,,Regular,
26,LG,2.0,LG2,2,9,bartbug,G,L,9.0,9.0,1.0,E,,Tineye,
27,LG,2.0,LG2,2,10,dyring,G,L,6.0,6.0,1.0,E,,Protect,
28,LG,2.0,LG2,2,11,Quiver,B,W,,,0.0,S,,Regular,
29,LG,2.0,LG2,2,12,little wilson,B,W,,,0.0,S,,Kill,
30,LG,2.0,LG2,2,14,loganmathewjohnson,G,L,1.0,1.0,1.0,E,,Regular,
31,LG,2.0,LG2,2,15,Grayv,G,L,9.0,9.0,1.0,E,,Vote Change,
32,LG,2.0,LG2,2,16,Peng,G,L,5.0,7.0,3.0,E,,Jack of All Trades,
33,LG,2.0,LG2,2,17,PorridgeBrick,G,L,7.0,7.0,1.0,E,,Cop,
34,LG,2.0,LG2,2,18,Windy,G,L,11.0,,1.0,S,,Double Life,
35,LG,2.0,LG2,2,19,Weiry,G,L,1.0,1.0,1.0,E,,Protect,
36,LG,2.0,LG2,2,21,Wes,G,L,1.0,1.0,1.0,E,,Kill,
37,LG,2.0,LG2,2,22,Swimmingly,G,L,2.0,2.0,1.0,X,,Kill,
38,LG,2.0,LG2,2,20,Alvron,G,L,11.0,11.0,1.0,E,,Smoker,
39,LG,2.0,LG2,2,23,Serendipity/Scriptorian,G,L,1.0,11.0,2.0,E,,Double Life,
40,LG,2.0,LG2,2,24,Aonar,B,W,1.0,1.0,1.0,V,,Regular,
41,LG,2.0,LG2,2,25,RainbowRose/Cessie,E,W,4.0,7.0,3.0,X,,Conversion,
42,LG,2.0,LG2,2,26,Herowannabe,G,L,8.0,8.0,1.0,E,,Tineye,
43,LG,2.0,LG2,2,27,RobotAztec,G,L,9.0,9.0,1.0,X,,Regular,
44,LG,2.0,LG2,2,28,Shiv,G,L,5.0,5.0,1.0,X,,Protect,
45,LG,2.0,LG2,2,29,Leonardus,G,L,1.0,1.0,1.0,F,,Regular,
46,LG,2.0,LG2,2,30,Luckat,G,L,3.0,3.0,1.0,E,,Cop,
